ticker,window,CAR,SE_CAR,T,P
goog,"(-1,+1)",-.0345605868470237,.080020688,-.43189564,.6741612
goog,"(0,+2)",.0125499152814052,.080020688,.15683338,.8782177
goog,"(-2,+2)",.0442102902537032,.10330626,.42795363,.6769433
msft,"(-1,+1)",.0472930918819052,.054560941,.86679393,.40456614
msft,"(0,+2)",.0234220566955355,.054560941,.42928249,.67600489
msft,"(-2,+2)",.0641187294815257,.070437871,.91028768,.38218457
ma,"(-1,+1)",-.1527344470109992,.053824078,-2.8376603,.016149323
ma,"(0,+2)",-.0648606977035175,.053824078,-1.2050499,.25346902
ma,"(-2,+2)",-.0879298993280375,.069486588,-1.2654227,.23186718
hd,"(-1,+1)",.012771427439496,.074712515,.17094094,.867374
hd,"(0,+2)",.0868648217513695,.074712515,1.1626542,.26957297
hd,"(-2,+2)",.1282064609652698,.096453443,1.3292056,.21069007
