date,goog_adj,msft_adj,ma_adj,hd_adj,spxt_tr,GOOGLNORMALIZED,MSFTNORMALIZED,MANORMALIZED,HDNORMALIZED,SPXTNORMALIZED,USGG3M_Last_Px,m,r_goog_m,r_msft_m,r_ma_m,r_hd_m,r_mkt_m,r_p_rb_m,r_p_ew_m,v_g,v_mx,v_a,v_h,v_bh,r_p_bh_m
30jan2015,26.878,49.0273,84.557,132.23,3656.28,288.8651,216.456,1881.5548,346.8781,188.8174,0,2015m1,,,,,,,,.366003594,.390981129,.101758435,.141256842,1,
27feb2015,28.132,53.5926,92.907,145.311,3866.4199,302.3424,236.6117,2067.3479,381.1938,199.6695,.0101,2015m2,.0455996103208994,.089033713022835,.0941731296543069,.0943334425790208,.0558827513496024,.0744082773855538,.0807849738942655,.3830795857730486,.4273883174077585,.1118070759433873,.1552308323970506,1.077505811521245,.074648936504418
31mar2015,27.735,49.6877,89.051,144.622,3805.27,298.0811,219.3717,1981.5619,379.385,196.5116,.0203,2015m3,-.014212564938574,-.0756535812804635,-.0423897535007875,-.0047528311506988,-.0159420403818894,-.0397658573645882,-.0342521827176309,.3776735501000818,.3962476629023686,.1071666496586326,.1544947969728806,1.035582659633964,-.0396847120193829
30apr2015,27.438,59.4468,93.158,136.182,3841.78,294.8944,262.4582,2072.9485,357.2451,198.397,0,2015m4,-.0107662396032248,.1793243773792333,.0450877370254139,-.0601312156056657,.009548852803767,.0622660770716295,.0383786647989392,.3736292362590966,.4740741786604035,.1121091368867154,.1454786300933525,1.105291181899568,.0651445888025036
29may2015,27.266,57.6445,95.27500000000001,141.834,3891.1799,293.0405,254.5009,2120.0557,372.0718,200.9482,0,2015m5,-.0062884091400353,-.0307869560747817,.0224704704156251,.0406651332954114,.0127766269706173,-.0063079109783602,.0065150596240549,.3712870747080884,.459701262167007,.1146567983091288,.1515164707572261,1.09716160594145,-.0073823265805647
30jun2015,27.002,54.3108,96.535,142.213,3815.8501,290.2032,239.7826,2148.0901,373.0655,197.058,.0051,2015m6,-.0097295674288835,-.0595717366776136,.013138190127856,.0026685740381976,-.0195489569908367,-.0251386055023187,-.0133736349851109,.367692129071657,.433115792648039,.1161731201760351,.1519213436538304,1.068902385549561,-.0260941726317769
31jul2015,32.875,57.4476,100.755,149.763,3895.8,353.323,253.6319,2241.9824,392.8719,201.1867,.061,2015m7,.1968015531628742,.0561501257747066,.0427861904991575,.0517281108549285,.0207355789165257,.1056445206980801,.0868664950729167,.4476660522639332,.4581310312079271,.1212515950001182,.1599867535993799,1.187035432071359,.104826651209068
31aug2015,32.391,53.8869,95.551,149.033,3660.75,348.1212,237.9111,2126.2004,390.9584,189.0483,0,2015m8,-.0148318840648156,-.0639858222615461,-.0530316910306693,-.0048862866467006,-.0622310053071296,-.0365324152068306,-.0341839210009329,.4410753185971426,.4297352903445652,.1149889450037844,.1592069192602737,1.145006473205766,-.0360486748392254
30sep2015,31.919,54.8031,93.224,148.563,3570.1699,343.0431,241.9565,2074.4092,389.7251,184.3706,-.0203,2015m9,-.0146791626630491,.0168593559933697,-.024654937085306,-.0031586472316014,-.0250548587576847,-.0017359645968382,-.0064083477466467,.4346479915501896,.4370417687839205,.1121885632702201,.1587048341378356,1.142583157742166,-.0021186635376247
30oct2015,36.869,65.1793,102.572,159.047,3871.3301,396.2538,287.7675,2282.4119,417.2276,199.923,.0712,2015m10,.1441696457865017,.1733951721640548,.0955597917370712,.0681906453225563,.080984957386957,.1399172587477147,.1203288137525459,.5020532222332762,.5197895111790717,.1234382274066014,.1699045371668608,1.31518549798581,.1406860918809281
30nov2015,38.143,67.754,101.463,172.22,3882.8401,409.9353,299.1349,2257.741,451.7828,200.5175,.1678,2015m11,.033971165099709,.0387415647462837,-.0108707910038438,.0795729732438396,.0029687273187431,.0377148214718015,.0353537280214971,.5194015583727211,.5403221351015863,.1221036234777132,.1839768080559631,1.365804125007984,.0377656389657298
31dec2015,38.901,69.1627,100.883,170.869,3821.6001,418.0819,305.3542,2244.8291,448.241,197.3549,.1627,2015m12,.0196777025785824,.0205782013531241,-.0057327704867659,-.0078755482273737,-.0158976611405798,.013551965438693,.0066618963043917,.5297234098591412,.5515561846295493,.1214056340469151,.1825335803955078,1.385218808931113,.0141147541947537
29jan2016,38.068,68.6765,92.43899999999999,162.484,3631.96,409.1293,303.2077,2056.9424,426.2442,187.5615,.3103,2016m1,-.0216459230247601,-.0070546262082441,-.0874124619975371,-.0503176456569702,-.0508967617981233,-.0266833783968268,-.0416076642218779,.518380266998735,.5476788545518212,.1112438706785363,.1735761681579672,1.35087916038706,-.0251025015403331
29feb2016,35.861,63.8752,90.248,160.365,3627.0601,385.415,282.0097,2008.1931,420.6857,187.3085,.3154,2016m2,-.0597236801977185,-.0724758941178428,-.0239875312172674,-.0131270682501023,-.0013500171308772,-.0544910103486609,-.0423285434457327,.4883270661669022,.5093896219269834,.1086071554321937,.1713125120421236,1.277636355568203,-.0557438367517701
31mar2016,38.145,69.33620000000001,98.118,173.333,3873.1101,409.9622,306.1202,2183.3208,454.7029,200.015,.1983,2016m3,.0617443335298143,.0820359566978994,.0836093996756892,.0777621326950181,.0656353973724174,.0741655539033574,.0762879556496052,.5194287928093608,.5529398061196477,.1180781499500928,.1851657883565454,1.375612537235647,.0738873398902557
29apr2016,35.394,62.6072,100.906,173.93,3888.1299,380.3959,276.4116,2245.3433,456.2705,200.7906,.2085,2016m4,-.0748523732931996,-.1020868488656622,.0280185544299429,.0034383195914709,.0038704688298196,-.0639734586532584,-.036370587034362,.4819678252115484,.4992776216419994,.1214333129381364,.1858035432886637,1.288482303080348,-.0654340970437455
